ID,점검항목,결과,상세내용
W-01,Administrator 계정 이름 변경,취약,관리자 계정명('Administrator')이 변경되지 않음
W-02,Guest 계정 비활성화,양호,Guest 계정이 비활성화 상태입니다.
W-03,불필요한 계정 제거,점검필요,"현재 시스템 계정 리스트: Administrator, DefaultAccount, Guest, minwo, WDAGUtilityAccount, WsiAccount | 퇴직/휴직자 등 불필요한 계정이 있는지 수동 확인이 필요합니다."
W-04,계정 잠금 임계값 설정,취약,계정 잠금 임계값이 0회로 설정되어 있습니다. (기준: 1~5회)
W-05,해독 가능한 암호화 사용하여 암호 저장 해제,양호,해독 가능한 암호화 저장 정책이 비활성화되어 있습니다.
W-06,관리자 그룹에 최소한의 사용자 포함,취약,"관리자 그룹 인원이 2명입니다: 강민우\Administrator, 강민우\minwo | 불필요한 계정은 제거 권고합니다."
W-07,Everyone 사용 권한을 익명 사용자에 적용,양호,정책이 '사용 안 함(0)'으로 설정되어 있습니다.
W-08,계정 잠금 기간 설정,취약,계정 잠금 기간이 10분입니다. (60분 이상 권고)
W-09,비밀번호 관리 정책 설정,양호,기본적인 암호 정책 설정을 확인하였습니다.
W-10,마지막 사용자 이름 표시 안 함,취약,정책이 '사용 안 함(0)'으로 설정되어 마지막 로그인 계정이 노출됩니다.
W-11,로컬 로그온 허용,점검필요,로컬 로그온 권한은 정책 파일(secedit) 분석이 필요하므로 수동 점검을 권장합니다.
W-12,익명 SID/이름 변환 허용 해제,양호,익명 SID 이름 변환이 차단(0)되어 있습니다.
W-13,콘솔 로그온 시 로컬 계정에서 빈 암호 사용 제한,양호,빈 암호 사용 제한이 설정(1)되어 있습니다.
W-14,원격터미널 접속 사용자 제한,양호,Remote Desktop Users 그룹에 등록된 일반 사용자가 없습니다.
